Symptoms,Crop,Temperature (°C),Humidity (%),Rainfall (mm),Disease
"leaves with yellow patches, sticky substance on leaves",Wheat,23.8,55.1,50.7,Fungal Wilt
white powdery coating on leaves,Wheat,31.3,85.7,107.1,Powdery Mildew
"leaves with yellow patches, sticky substance on leaves",Wheat,17.8,89.7,119.9,Brown Spot
"leaves with yellow patches, sticky substance on leaves",Chickpea,17.7,79.1,213.9,Black Mold
"yellowing of leaves, roots turning mushy",Chickpea,22.9,60.9,14.5,Leaf Spot
"leaves with yellow patches, sticky substance on leaves",Lettuce,22.9,62,84.2,Thrips Damage
"stems turning brown, leaf yellowing",Cotton,20.1,76.6,100.3,Damping Off
"black mold on leaves, stems, and pods",Rice,17.2,57.2,133,Root Rot
"leaves with yellow patches, sticky substance on leaves",Onion,26.7,85.7,220.6,Bacterial Blight
"browning of leaf edges, stem rotting",Tomato,32.2,57.7,151,Damping Off
"stems turning brown, leaf yellowing",Onion,17.4,76.4,114.7,Leaf Spot
"browning of leaf edges, stem rotting",Wheat,20.1,55.2,158.2,Thrips Damage
"leaves curling, silvery-white appearance",Rice,24.2,60.1,140.9,Aphid Infestation
"browning of leaf edges, stem rotting",Corn,19.6,72.3,137.2,Brown Spot
"black mold on leaves, stems, and pods",Chickpea,22.5,78.4,289.7,Brown Spot
"yellowing of leaves, roots turning mushy",Corn,24.8,69.8,12.3,Root Rot
white powdery coating on leaves,Chickpea,30.4,71.4,243.3,Thrips Damage
"leaves with yellow patches, sticky substance on leaves",Chickpea,16.8,65.1,6.9,Black Mold
"stems turning brown, leaf yellowing",Cotton,24.9,79.7,197.1,Leaf Spot
white powdery coating on leaves,Cotton,25.7,51.7,238.3,Aphid Infestation
"stems turning brown, leaf yellowing",Rice,32.3,73.9,101.1,Brown Spot
"yellow spots on leaves, leaf curling, stunted growth",Cotton,32.6,86.6,11.4,Fungal Wilt
"leaves curling, silvery-white appearance",Wheat,20,75,221.4,Bacterial Blight
"leaves with yellow patches, sticky substance on leaves",Wheat,28.2,83.4,202.3,Black Mold
"brown lesions on leaves, dried foliage",Chickpea,17.1,84.9,202,Damping Off
"brown lesions on leaves, dried foliage",Tomato,32.2,69.2,209.8,Brown Spot
"leaves curling, silvery-white appearance",Potato,19.2,50.2,91.4,Thrips Damage
"yellowing of leaves, roots turning mushy",Cotton,18,73.2,102.2,Leaf Spot
"leaves curling, silvery-white appearance",Cotton,16.9,52.5,48.8,Thrips Damage
"yellow spots on leaves, leaf curling, stunted growth",Tomato,25.8,74.7,160.5,Black Mold
"browning of leaf edges, stem rotting",Rice,18.7,56.9,173.1,Fungal Wilt
"stems turning brown, leaf yellowing",Cotton,24.1,52,118.2,Bacterial Blight
"leaves curling, silvery-white appearance",Tomato,25.6,71,163.2,Fungal Wilt
"stems turning brown, leaf yellowing",Chickpea,31.8,85.5,254.1,Aphid Infestation
"dark spots, leaves wilting",Onion,20.7,72.5,221.7,Root Rot
"dark spots, leaves wilting",Chickpea,18.2,85,210.4,Root Rot
"yellowing of leaves, roots turning mushy",Cotton,28.8,59.8,15.1,Brown Spot
"black mold on leaves, stems, and pods",Wheat,28.3,69.7,44.4,Fungal Wilt
"leaves with yellow patches, sticky substance on leaves",Rice,23.7,63.1,55.8,Black Mold
"leaves curling, silvery-white appearance",Potato,29.3,85.6,221.4,Black Mold
"black mold on leaves, stems, and pods",Cotton,18.1,51.2,77.7,Bacterial Blight
"leaves curling, silvery-white appearance",Lettuce,26.5,77.7,45.8,Damping Off
"leaves with yellow patches, sticky substance on leaves",Onion,21.5,55.2,72.4,Root Rot
"dark spots, leaves wilting",Chickpea,24.8,60.5,85.7,Bacterial Blight
"brown lesions on leaves, dried foliage",Rice,16.7,89.8,215.3,Fungal Wilt
"brown lesions on leaves, dried foliage",Cotton,26.8,84.8,47.2,Thrips Damage
"stems turning brown, leaf yellowing",Corn,31.4,56.2,294.6,Bacterial Blight
"yellow spots on leaves, leaf curling, stunted growth",Lettuce,18.2,87.2,261.1,Powdery Mildew
"dark spots, leaves wilting",Soybean,34.4,81.7,224,Bacterial Blight
"brown lesions on leaves, dried foliage",Rice,19.3,63.8,18.7,Powdery Mildew
"brown lesions on leaves, dried foliage",Chickpea,20.4,67,181.5,Black Mold
"yellow spots on leaves, leaf curling, stunted growth",Onion,18,58.8,229.2,Powdery Mildew
"yellowing of leaves, roots turning mushy",Lettuce,16.6,83.9,161.4,Root Rot
"leaves with yellow patches, sticky substance on leaves",Potato,34.2,52.7,75,Brown Spot
"brown lesions on leaves, dried foliage",Chickpea,34.1,82.1,63.4,Black Mold
"brown lesions on leaves, dried foliage",Tomato,17.4,79.9,119.8,Damping Off
"browning of leaf edges, stem rotting",Potato,33.8,81.8,140.6,Aphid Infestation
"brown lesions on leaves, dried foliage",Corn,27.6,75.6,140.8,Leaf Spot
"yellowing of leaves, roots turning mushy",Chickpea,33.6,69.5,283.9,Aphid Infestation
"leaves curling, silvery-white appearance",Tomato,18,67.9,174.6,Fungal Wilt
"yellowing of leaves, roots turning mushy",Onion,28.8,87.2,142.9,Bacterial Blight
"leaves curling, silvery-white appearance",Cotton,24,89.8,176.2,Leaf Spot
"browning of leaf edges, stem rotting",Lettuce,28.8,54.4,135.2,Bacterial Blight
"browning of leaf edges, stem rotting",Wheat,27.7,58.1,160.9,Fungal Wilt
"yellowing of leaves, roots turning mushy",Onion,32.2,50.1,242.2,Leaf Spot
"leaves curling, silvery-white appearance",Corn,21.6,85.9,45.5,Bacterial Blight
"brown lesions on leaves, dried foliage",Potato,21.8,71.6,19.6,Leaf Spot
"brown lesions on leaves, dried foliage",Cotton,23.3,62,288.1,Aphid Infestation
"stems turning brown, leaf yellowing",Corn,31.2,84.3,266.6,Aphid Infestation
"brown lesions on leaves, dried foliage",Soybean,25.7,52.3,260.7,Damping Off
"leaves with yellow patches, sticky substance on leaves",Rice,30.9,87.4,183.1,Powdery Mildew
"yellow spots on leaves, leaf curling, stunted growth",Cotton,26.9,84.7,254.7,Brown Spot
"yellow spots on leaves, leaf curling, stunted growth",Cotton,29.8,79.3,239.3,Damping Off
"leaves curling, silvery-white appearance",Rice,31.2,81.7,250.8,Powdery Mildew
